Date, Unread, Inbox Total, Deleted Total
2014-01-10 21:00:06, 269, 1446, 1406
2014-01-10 21:05:04, 269, 1446, 1406
2014-01-10 21:10:05, 269, 1446, 1406
2014-01-10 21:15:08, 269, 1446, 1406
2014-01-10 21:20:04, 269, 1446, 1406
2014-01-10 21:25:05, 269, 1446, 1406
2014-01-10 21:30:06, 269, 1446, 1406
2014-01-10 21:35:06, 269, 1446, 1406
2014-01-10 21:40:08, 269, 1446, 1406
2014-01-10 21:45:04, 269, 1446, 1406
2014-01-10 21:50:05, 269, 1446, 1406
2014-01-10 21:55:08, 269, 1446, 1406
2014-01-10 22:00:04, 269, 1446, 1406
2014-01-10 22:05:07, 269, 1446, 1406
2014-01-10 22:10:05, 270, 1447, 1406
2014-01-10 22:15:06, 270, 1447, 1406
2014-01-10 22:20:06, 270, 1447, 1406
2014-01-10 22:25:05, 270, 1447, 1406
2014-01-10 22:30:09, 270, 1447, 1406
2014-01-10 22:35:06, 270, 1447, 1406
2014-01-10 22:40:04, 270, 1447, 1406
2014-01-10 22:45:06, 270, 1447, 1406
2014-01-10 22:50:07, 270, 1447, 1406
2014-01-10 22:55:05, 270, 1447, 1406
2014-01-10 23:00:07, 271, 1448, 1406
2014-01-10 23:05:07, 271, 1448, 1406
2014-01-10 23:10:06, 271, 1448, 1406
2014-01-10 23:15:04, 271, 1448, 1406
2014-01-10 23:20:06, 271, 1448, 1406
2014-01-10 23:25:06, 269, 1447, 1407
2014-01-10 23:30:06, 269, 1447, 1407
2014-01-10 23:35:06, 269, 1447, 1407
2014-01-10 23:40:06, 269, 1447, 1407
2014-01-10 23:45:05, 269, 1447, 1407
2014-01-10 23:50:05, 269, 1447, 1407
2014-01-10 23:55:06, 269, 1447, 1407
2014-01-11 00:00:06, 269, 1448, 1407
2014-01-11 00:05:05, 269, 1448, 1407
2014-01-11 00:10:06, 269, 1448, 1407
2014-01-11 00:15:07, 269, 1448, 1407
2014-01-11 00:20:07, 273, 1452, 1407
2014-01-11 00:25:05, 273, 1452, 1407
2014-01-11 00:30:06, 269, 1446, 1413
2014-01-11 00:35:04, 269, 1446, 1413
2014-01-11 00:40:05, 269, 1446, 1413
2014-01-11 00:45:06, 269, 1446, 1413
2014-01-11 00:50:04, 269, 1446, 1417
2014-01-11 00:55:07, 269, 1446, 1417
2014-01-11 01:00:04, 269, 1446, 1417
2014-01-11 01:05:07, 270, 1447, 1417
2014-01-11 01:10:05, 270, 1447, 1417
2014-01-11 01:15:05, 270, 1447, 1417
2014-01-11 01:20:08, 270, 1447, 1417
2014-01-11 01:25:07, 270, 1447, 1417
2014-01-11 01:30:07, 270, 1447, 1417
2014-01-11 01:35:08, 270, 1447, 1417
2014-01-11 01:40:07, 270, 1447, 1417
2014-01-11 01:45:05, 270, 1447, 1417
2014-01-11 01:50:05, 270, 1447, 1417
2014-01-11 02:00:07, 270, 1447, 1417
2014-01-11 02:05:05, 270, 1447, 1420
2014-01-11 02:10:05, 270, 1447, 1420
2014-01-11 02:15:05, 270, 1447, 1420
2014-01-11 02:20:07, 270, 1447, 1420
2014-01-11 02:25:07, 270, 1447, 1420
2014-01-11 02:30:07, 270, 1447, 1420
2014-01-11 02:35:04, 270, 1447, 1420
2014-01-11 02:40:04, 270, 1447, 1420
2014-01-11 02:45:06, 270, 1447, 1420
2014-01-11 02:50:03, 270, 1447, 1420
2014-01-11 02:55:04, 270, 1447, 1420
2014-01-11 03:00:05, 270, 1447, 1420
2014-01-11 03:05:07, 270, 1447, 1420
2014-01-11 03:10:09, 270, 1447, 1420
2014-01-11 03:15:06, 270, 1447, 1420
2014-01-11 03:20:05, 270, 1447, 1420
2014-01-11 03:25:06, 271, 1448, 1420
2014-01-11 03:30:05, 271, 1448, 1420
